Date,Batch Locations,Gravity,pH,Temperature,ABV,Planned Start Date,Product,Batch,Original Gravity,OG Date
06/12/2024 ,FV09,8.8000,4.8700,60.1000,0.0038,06/10/2024 08:00 AM,Logger Road Lager,LRL 24076,9.51,06/10/2024 12:00 PM
06/11/2024 ,,1.8800,0.0000,0.0000,0.0698,05/22/2024 08:00 AM,Stowaway IPA 2.0,IPA 24067.1,14.66,05/22/2024 12:00 PM
06/11/2024 ,,14.6600,0.0000,0.0000,0.00,05/22/2024 08:00 AM,Stowaway IPA 2.0,IPA 24067.1,14.66,05/22/2024 12:00 PM
06/11/2024 ,FV18,3.8100,4.4600,0.0000,0.0037,06/05/2024 08:00 AM,NA IPA,NA Trial 24075,4.50,06/05/2024 12:00 PM
06/11/2024 ,FV18,4.2000,4.4600,68.5000,0.0016,06/05/2024 08:00 AM,NA IPA,NA Trial 24075,4.50,06/05/2024 12:00 PM
06/11/2024 ,,4.3000,4.4800,71.2000,0.1564,06/03/2024 08:00 AM,Coastal Storm,COS 24072,17.60,06/03/2024 12:00 PM
06/11/2024 ,,4.0000,4.4100,72.5000,0.077,06/03/2024 08:00 AM,Coastal Storm,COS 24072,17.60,06/03/2024 12:00 PM
06/11/2024 ,,5.0000,3.2400,68.6000,0.0576,06/04/2024 08:00 AM,Limonchello,LEM 24074,15.60,06/04/2024 12:00 PM
06/11/2024 ,FV03,4.1000,4.4800,68.4000,0.0498,06/03/2024 08:00 AM,Coastal Haze,COHZ 24071,13.35,06/03/2024 12:00 PM
06/11/2024 ,FV01,2.6000,4.4300,69.0001,0.0464,06/04/2024 08:00 AM,Baxter Pale Ale,BPA 24073,11.25,06/04/2024 12:00 PM
06/10/2024 ,,2.5600,0.0000,0.0000,0.0392,05/16/2024 08:00 AM,Sea Shandy (7),SEA 24065.1,10.50,05/16/2024 12:00 PM
06/10/2024 ,,10.5000,0.0000,0.0000,0.00,05/16/2024 08:00 AM,Sea Shandy (7),SEA 24065.1,10.50,05/16/2024 12:00 PM
06/10/2024 ,FV18,4.3000,4.4000,68.4000,0.001,06/05/2024 08:00 AM,NA IPA,NA Trial 24075,4.50,06/05/2024 12:00 PM
06/10/2024 ,,4.1000,4.4300,71.2000,0.1564,06/03/2024 08:00 AM,Coastal Storm,COS 24072,17.60,06/03/2024 12:00 PM
06/10/2024 ,,3.7000,4.3500,71.4000,0.077,06/03/2024 08:00 AM,Coastal Storm,COS 24072,17.60,06/03/2024 12:00 PM
06/10/2024 ,,5.3000,3.4600,69.3000,0.0561,06/04/2024 08:00 AM,Limonchello,LEM 24074,15.60,06/04/2024 12:00 PM
06/10/2024 ,FV03,4.1000,4.4600,68.6000,0.0498,06/03/2024 08:00 AM,Coastal Haze,COHZ 24071,13.35,06/03/2024 12:00 PM
06/10/2024 ,FV01,2.5000,4.4200,68.3000,0.0464,06/04/2024 08:00 AM,Baxter Pale Ale,BPA 24073,11.25,06/04/2024 12:00 PM
06/07/2024 ,,4.3000,4.3100,72.6000,0.1554,06/03/2024 08:00 AM,Coastal Storm,COS 24072,17.60,06/03/2024 12:00 PM
06/07/2024 ,,4.6000,4.3800,72.7000,0.0722,06/03/2024 08:00 AM,Coastal Storm,COS 24072,17.60,06/03/2024 12:00 PM
